Text1,Text2,Label
"su nombre proviene de los persas, los cuales empleaban este alimento para dar de comer a sus reyes y significa ""carne a la parrilla"".","el alimento, cuyo nombre proviene de los persas, que significa “carne a la parrilla”, se empleaba para dar de comer a sus reyes.",1
"la congelación con deshidratación, uno de los nuevos métodos empleados en los restaurantes experimentales, maximiza el sabor y la textura en cada bocado.","un método de cocción es el sous vide, que mantiene la integridad de los alimentos al aumentar el calor en ellos durante periodos prolongados a temperaturas relativamente bajas.",0
"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.","el festival de alcachofa ahumada instantánea  es una de las especialidades del menú, compuesto por alcachofa, con microensalada y queso parmesano espolvoreado con oro de 24 quilates como complemento, sobre un plato de saturno lleno con humo de nogal.",0
el sous vide es un método de cocción que mantiene la integridad de los alimentos al calentarlos durante largos periodos a temperaturas relativamente bajas.,estos se usan para referir a las transformaciones que sufren los elementos del platillo al prepararse.,0
"el cuidado de la piel también es un factor a tomar en cuenta, pues la vitamina c dan como resultado una piel más lozana.","la dieta general de la gente consiste en carnes, frutas, verduras y todo lo comestible a nuestro alcance.",0
los sabores más delicados pueden preservarse con un poco de ciencia.,los sabores más delicados pueden conservarse con un poco de ciencia.,1
"el cuidado de la piel también es un factor a tomar en cuenta, pues la vitamina c dan como resultado una piel más lozana.","en ausencia de la carne en dietas alternativas, es de vital importancia tener un equilibrio de proteínas porque ella tiene un alto valor de nutrientes.",0
"los altares de tres niveles muestran el cielo, la tierra y el inframundo.","el altar de muertos es una obra simbólica proveniente del sincretismo de las ideologías prehispánicas, su filosofía y creencias religiosas impuestas por los conquistadores.",0
el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"en la parte superior del carro, hay una superficie que el productor de camote utiliza para colocar la cinta, colocar los componentes al alcance  y preparar su producto.",0
"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.",la excentricidad con la que se presentan los platos en la cocina molecular es uno de los factores que la hacen tan popular.,0
"en el menú hay especialidades como el festival de alcachofa ahumada instantánea, hecha de diferentes texturas de alcachofa y acompañada por una microensalada y queso parmesano espolvoreado con oro de 24 quilates, sobre un tazón de saturno lleno con humo de nogal.","la compañía de lóndres, catering caterers bubble, une técnicas moleculares en gran parte de su oferta de alimentos.",0
"una de las referencias escritas más tempranas sobre el uso del sushi en japón data del año 718 como parte de un tratado de leyes denominado yororitsuryo, en el se hace referencia al uso del sushi como forma de pago de impuestos.","se sabe, por una referencia antigua, que se usó, alguna vez, el sushi para pagar los impuestos.",1
los veganos tienen niveles de estrógeno más bajos que los no veganos en parte debido al menor contenido de grasa de su dieta.,"cuando un alimento no contiene productos de origen animal, suelen tener un gran potencial para evadir las causas de mortalidad más usuales en europa.",0
"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.",del laboratorio a la cocina brincó una técnica que consiste en el hervor de líquidos tanto a escasas temperaturas como a bajas presiones imposibilitando así la destrucción de las partículas del sabor.,0
"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.",el cuidado de la salud se debería de mantener comiendo ciertos alimentos y mantener restricciones con unos cuantos.,1
"aunque en méxico se les conoce como camoteros, no son camotes lo único que vende: ofrece también plátanos machos y el nopal es horneado.",el espectro de tradiciones y costumbres de la república mexicana es muy extenso. destaca entre ellas el habitual carrito de camotes que puede reconocerse por el silbido característico que emite.,0
"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","méxico posee una selección extensa de prácticas culturales. en las zonas urbanas, que haya vendedores ambulantes de camotes es algo muy normal y es reconocible por su distintivo sonido.",0
el elemento teatral de la cocina molecular también es muy atractivo para algunos.,"se pueden encontrar diferentes platillos como el de alcachofa ahumada instantánea, la cual está hecha con diversas texturas de alcachofa y está acompañada por pequeñas porciones de ensalada con queso parmesano espolvoreado con oro de 24 quilates, emplatado en un gran tazón rebosante de humo de nogal.",0
"el sutil aroma de los pétalos de rosa, por ejemplo, puede ser extraído con la destilación al vacío.","métodos experimentales empleados recientemente en restaurantes, es la congelación con deshidratación, es una intensa aventura en cada bocado de sabor y textura.",0
"el pescado es un alimento perecedero, es por esta razón por la que en la antigüedad se empleaban diversos métodos simples como el ahumado o el salazón.",cuando el vinagre de arroz fue revelado se descubrió que no se necesitaba fermentar el pescado para conseguir la degustación y fragancia del nare-zushi y además se tenía que combinar el vinagre con el arroz recién cocido.,0
"para su elaboración, primero se extraen azúcares contenidos en las piñas de agave y se separan de la fibra. después, se decide qué bebida se elaborará a partir de sus componentes.","una tradición cotidiana se haya en la elaboración del vino, ya que en algunas partes del país se obligan a usar la uva procedente de ese mismo lugar.",0
todos ellos se componen de aromas que simbolizan la purificación del alma. el aroma es capaz de guiar o atraer a los difuntos.,"para ayudar al fallecido en su viaje al otro mundo, era frecuente otorgar a la sepultura de objetos de uso diario como instrumentos de oficio. esto pasaba en los ritos funerarios de estas civilizaciones.",0
"existen 10 casas tequileras que se consideran las más importantes del país, tanto por su antigüedad e importancia en el mercado y dicha lista está encabezada por tequila josé cuervo.",primeramente se extraen los azúcares que contiene las piñas del agave  y se separan las fibras para su elaboración y después se decide la bebida que se elaborara a partir de sus componentes.,0
"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.","aunque, para tener una buena salud, debemos cuidar lo que comemos.",1
el consejo regulador del tequila es la organización dedicada a verificar el cumplimento de la norma oficial del tequila y de promover su calidad y prestigio por excelencia.,la calidad de cada casa productora se designa por el distintivo de la reserva que no es una clasificación normada.,0
el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"méxico tiene una amplia gama de tradiciones y costumbres. algo bastante común en las ciudades es el carrito de boniatos, identificado por su distintivo silbido.",0
"el sutil aroma de los pétalos de rosa, por ejemplo, puede ser extraído con la destilación al vacío.","cateters bubble, una empresa de catering de londres, integra técnicas moleculares a gran parte de su menú.",0
las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,"a pesar de que también existen camotes de piel amarilla, los camoteros usualmente ofrecen los de piel morada o y blanca.",0
"a pesar de que en sus inicios se consideró como una bebida que se tomaba sola, se ha creado toda una cultura alrededor de la preparación de cocteles reconocidos en méxico y otros no tanto.","dependiendo de las características de la bebida y de los procesos que sigan puede clasificarse como blanco, joven, reposado, añejo o de reserva.",0
todo se coloca en una vara de metal en una hornilla especial para este tipo de comida.,"todo se pone en una hornilla diseñada para este tipo de comida, en una vara de metal.",1
